Date,Open,High,Low,Close,Adj Close,Volume
2016-06-16,33.130001,33.630001,33.130001,33.630001,33.630001,29500
2016-06-17,33.880001,34.119999,33.880001,34.080002,34.080002,29800
2016-06-20,35.310001,35.490002,35.110001,35.290001,35.290001,5300
2016-06-21,35.470001,35.470001,34.840000,35.029999,35.029999,2100
2016-06-22,34.419998,34.590000,34.290001,34.459999,34.459999,6500
2016-06-23,35.160000,35.470001,35.130001,35.169998,35.169998,136400
2016-06-24,34.060001,34.450001,34.000000,34.110001,34.110001,5600
2016-06-27,32.380001,32.709999,32.189999,32.709999,32.709999,2900
2016-06-28,32.500000,32.500000,32.009998,32.150002,32.150002,10700
2016-06-29,32.310001,32.450001,32.310001,32.410000,32.410000,2300
2016-06-30,31.860001,32.389999,31.830000,32.200001,32.200001,14100
2016-07-01,32.570000,32.570000,32.209999,32.349998,32.349998,2500
2016-07-05,31.100000,31.100000,30.600000,30.700001,30.700001,2700
2016-07-06,30.240000,30.379999,30.200001,30.290001,30.290001,3600
2016-07-07,30.580000,30.580000,30.440001,30.450001,30.450001,7200
2016-07-08,30.650000,30.820000,30.590000,30.740000,30.740000,13600
2016-07-11,31.500000,31.870001,31.500000,31.799999,31.799999,7800
2016-07-12,33.299999,33.299999,32.830002,32.880001,32.880001,3600
2016-07-13,33.630001,33.889999,33.630001,33.849998,33.849998,3700
2016-07-14,33.650002,33.880001,33.650002,33.740002,33.740002,4300
2016-07-15,33.389999,33.480000,33.389999,33.400002,33.400002,1400
2016-07-18,33.419998,33.560001,33.380001,33.560001,33.560001,3300
2016-07-19,32.900002,33.110001,32.900002,33.000000,33.000000,2900
2016-07-20,33.950001,33.950001,33.330002,33.500000,33.500000,3900
2016-07-21,34.000000,34.139999,33.950001,33.950001,33.950001,10300
2016-07-22,34.439999,34.610001,34.439999,34.549999,34.549999,4100
2016-07-25,34.790001,34.840000,34.709999,34.799999,34.799999,3100
2016-07-26,34.209999,34.209999,34.119999,34.169998,34.169998,2300
2016-07-27,34.439999,34.549999,34.099998,34.549999,34.549999,2200
2016-07-28,34.290001,34.290001,32.950001,33.599998,33.599998,2700
2016-07-29,33.029999,33.040001,32.959999,32.990002,32.990002,3600
2016-08-01,33.099998,33.139999,32.779999,32.900002,32.900002,1100
2016-08-02,32.349998,32.419998,32.090000,32.410000,32.410000,6800
2016-08-03,31.629999,31.950001,31.629999,31.889999,31.889999,4500
2016-08-04,32.619999,32.680000,32.520000,32.610001,32.610001,5700
2016-08-05,32.709999,32.869999,32.599998,32.869999,32.869999,10800
2016-08-08,33.200001,33.310001,33.070000,33.070000,33.070000,7800
2016-08-09,33.270000,33.270000,33.070000,33.070000,33.070000,2200
2016-08-10,34.049999,34.150002,33.860001,33.869999,33.869999,3700
2016-08-11,33.959999,34.340000,33.959999,34.189999,34.189999,4300
2016-08-12,34.639999,34.869999,34.639999,34.660000,34.660000,2700
2016-08-15,34.560001,34.560001,34.500000,34.500000,34.500000,1400
2016-08-16,34.330002,34.480000,34.299999,34.439999,34.439999,3900
2016-08-17,33.970001,34.299999,33.970001,34.200001,34.200001,2000
